	extraversion_mean	neuroticism_mean	agreeableness_mean	conscientiousness_mean	openness_mean	extraversion_mean_rank	neuroticism_mean_rank	agreeableness_mean_rank	conscientiousness_mean_rank	openness_mean_rank	extraversion_mean_perc	neuroticism_mean_perc	agreeableness_mean_perc	conscientiousness_mean_perc	openness_mean_perc
62	4.8	2.6	3.8	3.6	3.3	1209	5142	9667	8530	2732	12.081208120812082	51.41514151415142	96.66966696669667	85.2985298529853	27.312731273127312
63	4.4	3.1	4.3	3.1	3.6	2509	1751	2829	8283	1601	25.082508250825082	17.501750175017502	28.28282828282828	82.82828282828282	16.001600160016004
64	2.2	3.6	4.2	2.1	3.8	2565	4944	4341	8115	1578	25.642564256425644	49.43494349434944	43.404340434043405	81.14811481148115	15.771577157715772
65	3.3	2.4	4.2	3.1	4.2	4098	4837	8696	5462	4976	40.97409740974097	48.36483648364837	86.95869586958696	54.61546154615462	49.75497549754975
66	2.5	4.1	3.6	2.2	4.0	3137	4791	3302	3755	2866	31.36313631363136	47.904790479047904	33.01330133013302	37.543754375437544	28.65286528652865
67	3.3	2.9	4.2	2.0	4.7	3471	1855	9830	5471	6649	34.7034703470347	18.54185418541854	98.2998299829983	54.7054705470547	66.4866486648665
68	2.2	3.7	3.2	3.9	4.6	4509	9572	768	9274	7096	45.084508450845085	95.71957195719571	7.670767076707671	92.73927392739274	70.95709570957096
69	2.0	3.9	3.0	3.6	4.6	4130	6640	4327	1075	1570	41.294129412941295	66.3966396639664	43.264326432643266	10.741074107410741	15.69156915691569
70	3.6	3.2	4.5	3.8	4.4	8402	5875	6440	5716	1020	84.01840184018403	58.745874587458744	64.3964396439644	57.15571557155715	10.191019101910191
71	2.3	3.3	1.7	2.9	3.1	2128	9444	4358	6920	9294	21.272127212721273	94.43944394439444	43.57435743574358	69.1969196919692	92.93929392939295
72	1.4	2.4	2.2	3.2	3.6	332	5831	5132	9279	1567	3.31033103310331	58.3058305830583	51.315131513151314	92.7892789278928	15.661566156615661
73	2.9	4.2	4.0	3.5	4.2	25	1331	8805	6253	7774	0.24002400240024005	13.3013301330133	88.04880488048805	62.52625262526252	77.73777377737774
74	2.9	3.6	4.5	2.7	4.5	7087	6913	9090	4402	8369	70.86708670867087	69.12691269126913	90.8990899089909	44.01440144014401	83.68836883688368
75	2.0	2.3	4.3	3.3	4.1	7575	9389	7403	9344	1189	75.74757475747575	93.88938893889389	74.02740274027403	93.43934393439343	11.881188118811881
76	4.3	1.6	4.7	4.9	4.3	1294	4304	8892	4166	6293	12.931293129312932	43.03430343034304	88.91889188918893	41.65416541654166	62.926292629262925
77	2.0	3.6	3.8	2.8	3.3	3880	406	9217	7513	9982	38.793879387938794	4.05040504050405	92.16921692169217	75.12751275127513	99.81998199819982
78	2.5	2.3	1.7	2.3	4.5	4071	7367	9564	2825	9868	40.7040704070407	73.66736673667367	95.63956395639563	28.24282428242824	98.67986798679867
79	3.6	3.4	4.4	3.5	3.5	1215	3499	4473	8150	3739	12.141214121412142	34.98349834983499	44.72447244724472	81.4981498149815	37.38373837383738
80	4.4	2.4	4.0	4.0	4.7	3069	3506	9235	5200	8259	30.683068306830684	35.053505350535055	92.34923492349235	51.995199519951996	82.58825882588259
81	4.3	3.9	3.3	3.4	2.7	2380	8551	5463	4738	8397	23.792379237923793	85.5085508550855	54.625462546254624	47.37473747374737	83.96839683968396
82	3.6	3.5	3.5	2.3	3.5	8759	2328	9852	4898	8583	87.58875887588758	23.27232723272327	98.51985198519851	48.974897489748976	85.82858285828583
83	1.0	2.6	2.2	2.8	4.2	3970	2878	1420	2347	119	39.69396939693969	28.77287728772877	14.19141914191419	23.462346234623464	1.18011801180118
84	3.3	4.4	3.7	2.4	3.6	6381	3108	3069	7522	2789	63.80638063806381	31.073107310731075	30.683068306830684	75.21752175217522	27.88278827882788
85	3.8	2.0	4.1	4.2	3.3	5411	9942	3391	255	5379	54.10541054105411	99.41994199419942	33.9033903390339	2.54025402540254	53.78537853785379
86	1.9	3.4	3.5	3.3	4.2	9000	8609	6491	6073	3233	89.99899989999	86.08860886088608	64.9064906490649	60.726072607260726	32.323232323232325
87	4.5	3.1	3.2	2.7	3.1	8700	3239	3339	8486	7926	86.99869986998699	32.38323832383238	33.383338333833386	84.85848584858486	79.25792579257926
88	3.4	2.9	3.5	3.8	3.2	3926	3290	4602	7390	1470	39.25392539253925	32.893289328932894	46.01460146014602	73.8973897389739	14.69146914691469
89	4.4	1.9	4.6	4.4	4.5	3246	3316	3965	5250	7852	32.45324532453245	33.15331533153315	39.64396439643964	52.49524952495249	78.51785178517852
90	3.6	2.7	3.7	3.2	2.4	3406	8253	276	1594	2106	34.053405340534056	82.52825282528254	2.7502750275027505	15.931593159315932	21.052105210521052
91	3.6	4.5	3.9	4.0	4.1	9544	780	8486	1468	3151	95.43954395439545	7.79077907790779	84.85848584858486	14.67146714671467	31.503150315031505
92	1.9	3.2	2.9	4.3	3.8	5607	8051	2988	2107	8482	56.065606560656065	80.50805080508052	29.872987298729875	21.062106210621064	84.81848184818482
93	3.5	3.0	3.6	2.6	3.4	9575	8189	1310	4205	7087	95.74957495749575	81.88818881888189	13.091309130913093	42.04420442044204	70.86708670867087
94	2.2	3.5	3.2	3.4	3.3	5626	618	9805	7724	3169	56.255625562556254	6.170617061706171	98.04980498049804	77.23772377237724	31.683168316831683
95	3.6	3.8	4.0	4.5	4.4	8570	5081	4536	6462	7660	85.6985698569857	50.80508050805081	45.35453545354535	64.61646164616461	76.5976597659766
96	3.7	2.7	4.5	2.0	4.3	834	8480	6514	1351	5656	8.330833083308331	84.7984798479848	65.13651365136514	13.501350135013501	56.55565556555655
97	4.0	3.8	2.9	3.3	4.8	1054	5037	4047	8264	6375	10.531053105310532	50.36503650365036	40.46404640464046	82.63826382638264	63.746374637463745
98	2.7	3.9	3.7	4.6	4.7	1627	245	4644	5625	3876	16.26162616261626	2.4402440244024404	46.434643464346436	56.24562456245624	38.753875387538756
99	2.0	4.2	4.3	3.2	4.6	7318	6400	7477	4220	8983	73.17731773177317	63.996399639964	74.76747674767476	42.19421942194219	89.82898289828984
100	3.6	2.6	4.6	4.1	3.9	7354	6421	4697	1744	2781	73.53735373537353	64.20642064206422	46.96469646964697	17.431743174317432	27.802780278027804
101	2.0	3.4	3.1	3.8	4.4	9110	8483	9941	3375	757	91.09910991099109	84.82848284828482	99.40994099409941	33.74337433743374	7.560756075607561
102	3.7	1.8	4.6	3.1	4.3	3320	4968	72	4517	6561	33.19331933193319	49.67496749674967	0.7100710071007101	45.16451645164516	65.60656065606561
103	3.7	2.9	3.9	3.8	3.8	5817	2419	2605	9852	9556	58.16581658165817	24.182418241824184	26.042604260426046	98.51985198519851	95.55955595559556
104	3.7	2.2	4.6	3.3	4.7	1458	8437	79	9586	5612	14.571457145714572	84.36843684368436	0.7800780078007801	95.85958595859586	56.11561156115612
105	2.9	3.7	3.8	4.2	3.7	555	8334	7807	7147	7193	5.540554055405541	83.33833383338333	78.06780678067807	71.46714671467147	71.92719271927193
106	1.6	2.9	4.0	4.7	3.1	7538	1241	796	4575	9538	75.37753775377539	12.401240124012402	7.950795079507951	45.744574457445744	95.37953795379538
107	3.4	3.5	4.6	2.8	4.4	3555	2408	7846	2376	8610	35.54355435543554	24.072407240724072	78.45784578457847	23.75237523752375	86.0986098609861
108	3.7	3.4	4.1	2.4	4.5	7230	6570	825	5060	868	72.2972297229723	65.69656965696569	8.24082408240824	50.59505950595059	8.670867086708672
109	4.2	3.6	4.1	2.2	4.4	7432	1890	5510	3878	8609	74.31743174317432	18.891889188918892	55.09550955095509	38.77387738773878	86.08860886088608
110	1.3	3.7	3.3	2.7	4.4	1404	7736	7473	4184	4624	14.03140314031403	77.35773577357736	74.72747274727473	41.83418341834184	46.234623462346235
111	3.3	1.3	4.6	4.5	3.8	5786	4964	2960	2045	6019	57.855785578557864	49.634963496349634	29.592959295929592	20.442044204420444	60.186018601860184
112	2.4	3.4	4.0	3.0	4.8	3658	6316	5715	2882	4940	36.57365736573657	63.15631563156315	57.14571457145714	28.81288128812881	49.394939493949394
113	2.8	4.5	2.5	2.5	4.3	2156	3751	7854	8126	6701	21.55215521552155	37.503750375037505	78.53785378537854	81.25812581258126	67.006700670067
114	3.6	2.6	4.8	3.3	4.0	3540	9004	5743	5154	6081	35.393539353935395	90.03900390039004	57.42574257425742	51.53515351535154	60.80608060806081
115	3.3	2.4	4.5	3.4	4.4	9224	5655	4670	2246	3854	92.23922392239224	56.54565456545655	46.69466946694669	22.452245224522454	38.53385338533853
116	2.9	2.2	4.2	3.4	3.6	2404	2667	6078	4592	9768	24.032403240324033	26.662666266626662	60.77607760776078	45.91459145914592	97.67976797679768
117	2.6	4.7	3.0	3.2	4.1	1898	2642	7737	759	6500	18.971897189718973	26.412641264126414	77.36773677367736	7.580758075807581	64.996499649965
118	2.2	4.6	3.7	2.1	2.1	6171	5590	4052	4379	9670	61.70617061706171	55.89558955895589	40.51405140514051	43.784378437843785	96.69966996699671
119	3.8	1.6	2.9	3.2	4.0	5436	8679	2356	8459	4864	54.35543554355435	86.78867886788679	23.552355235523553	84.58845884588459	48.634863486348635
120	1.8	3.4	3.0	3.2	4.9	4101	486	5555	9077	9736	41.004100410041005	4.850485048504851	55.545554555455546	90.76907690769077	97.35973597359737
121	2.3	1.8	3.3	3.8	3.4	2491	8612	4552	9254	9685	24.902490249024904	86.11861186118612	45.514551455145515	92.53925392539254	96.84968496849685
122	4.4	1.9	4.6	4.4	4.9	9169	2712	3398	1590	7529	91.68916891689169	27.11271127112711	33.97339733973397	15.891589158915892	75.28752875287529
123	2.5	3.0	3.9	4.6	3.6	3095	5483	766	7312	3356	30.94309430943094	54.825482548254826	7.650765076507652	73.11731173117312	33.55335533553355
124	3.5	3.9	3.6	3.4	3.5	3288	2715	7345	6649	3769	32.87328732873288	27.142714271427142	73.44734473447345	66.4866486648665	37.68376837683768
125	3.0	2.1	4.2	2.9	4.2	258	8610	6480	6461	9813	2.5702570257025705	86.0986098609861	64.7964796479648	64.60646064606462	98.12981298129813
126	3.4	3.3	4.6	3.2	4.3	8177	2620	9519	5784	7735	81.76817681768178	26.192619261926193	95.1895189518952	57.835783578357834	77.34773477347736
127	3.7	3.3	4.5	2.1	4.7	7994	9451	1856	5346	8801	79.93799379937994	94.50945094509451	18.55185518551855	53.45534553455346	88.00880088008802
128	2.6	3.1	3.7	3.5	4.9	420	8570	4573	7987	9829	4.190419041904191	85.6985698569857	45.72457245724573	79.86798679867987	98.28982898289829
129	4.2	2.6	4.5	3.2	3.2	5045	8520	7765	7265	4894	50.44504450445044	85.1985198519852	77.64776477647764	72.64726472647266	48.93489348934894
130	3.7	2.0	4.2	4.3	3.6	1296	6098	7237	8841	8423	12.951295129512951	60.97609760976097	72.36723672367236	88.40884088408842	84.22842284228422
131	2.3	2.3	4.6	4.4	3.6	7370	2992	4396	7250	9027	73.6973697369737	29.912991299129914	43.95439543954395	72.4972497249725	90.26902690269026
132	3.0	2.9	3.5	3.3	2.9	1924	6182	7584	2538	8284	19.23192319231923	61.816181618161814	75.83758375837584	25.372537253725376	82.83828382838284
133	3.1	2.9	3.7	3.5	4.0	8725	6186	6041	9543	8442	87.24872487248724	61.85618561856185	60.40604060406041	95.42954295429543	84.41844184418443
134	3.2	3.8	3.6	3.0	3.3	6046	2518	1987	3036	4442	60.45604560456046	25.172517251725175	19.861986198619864	30.35303530353035	44.414441444144416
135	3.0	4.3	4.0	3.5	4.7	1270	8498	9375	3142	1579	12.69126912691269	84.97849784978497	93.74937493749374	31.413141314131416	15.781578157815781
136	2.4	3.1	3.7	3.3	2.9	2195	5179	831	4552	6897	21.942194219421943	51.78517851785178	8.3008300830083	45.514551455145515	68.96689668966897
137	2.3	3.9	3.1	3.4	4.1	2654	4565	8100	2040	6253	26.532653265326534	45.64456445644565	80.998099809981	20.392039203920394	62.52625262526252
138	3.3	4.0	4.2	4.3	4.6	5584	8485	3676	10	8740	55.835583558355836	84.84848484848484	36.75367536753675	0.09000900090009001	87.3987398739874
139	3.5	3.3	4.4	3.3	3.2	3396	1169	6293	1220	8679	33.953395339533955	11.681168116811682	62.926292629262925	12.191219121912193	86.78867886788679
140	2.1	3.6	3.0	3.5	3.9	6195	6721	2241	4158	6428	61.94619461946195	67.2067206720672	22.402240224022403	41.574157415741574	64.27642764276428
141	2.8	2.1	4.8	3.0	4.0	4998	9830	3540	233	5125	49.974997499749975	98.2998299829983	35.393539353935395	2.32023202320232	51.24512451245125
142	4.0	3.0	4.0	2.9	4.3	5449	7149	2461	4602	2570	54.485448544854485	71.48714871487148	24.602460246024602	46.01460146014602	25.69256925692569
143	3.7	2.7	4.7	4.0	4.5	4059	9037	3781	6286	760	40.58405840584059	90.36903690369037	37.80378037803781	62.85628562856286	7.590759075907591
144	1.8	3.3	4.2	4.5	3.8	8039	9697	7354	2354	9491	80.38803880388039	96.96969696969697	73.53735373537353	23.532353235323534	94.90949094909492
145	4.2	1.5	4.4	3.9	4.2	7437	4186	10	281	4873	74.36743674367436	41.85418541854185	0.09000900090009001	2.8002800280028004	48.724872487248724
146	4.5	1.8	3.7	4.4	3.3	2885	7354	4751	4993	6523	28.842884288428845	73.53735373537353	47.5047504750475	49.924992499249925	65.22652265226523
147	3.3	1.4	3.9	2.4	4.3	5353	7363	721	6555	6149	53.525352535253525	73.62736273627362	7.200720072007201	65.54655465546556	61.48614861486149
148	3.6	1.9	4.1	2.8	3.2	2666	205	3643	580	6917	26.652665266526654	2.04020402040204	36.42364236423642	5.7905790579057905	69.16691669166917
149	4.1	3.5	4.7	3.3	4.2	7474	3502	7419	565	4809	74.73747374737474	35.013501350135016	74.18741874187418	5.6405640564056405	48.08480848084808
150	4.1	2.1	4.1	3.1	3.9	8155	7419	4150	5090	6139	81.54815481548154	74.18741874187418	41.494149414941496	50.895089508950896	61.386138613861384
151	4.2	2.9	4.4	3.6	4.3	9869	7131	4696	5125	5348	98.68986898689869	71.3071307130713	46.954695469546955	51.24512451245125	53.47534753475347
152	2.3	2.8	3.0	2.3	2.6	9537	7446	5254	5127	2941	95.36953695369536	74.45744574457446	52.53525352535253	51.26512651265126	29.4029402940294
153	2.9	4.1	3.5	3.2	3.4	3671	9738	6687	2611	8136	36.70367036703671	97.37973797379738	66.86668666866686	26.102610261026104	81.35813581358136
154	2.6	3.7	3.8	4.4	4.7	7893	2176	5117	3902	9501	78.92789278927893	21.752175217521753	51.16511651165116	39.01390139013902	95.009500950095
155	1.8	3.6	4.2	3.9	4.2	8486	7459	6421	774	2142	84.85848584858486	74.58745874587459	64.20642064206422	7.73077307730773	21.412141214121412
156	2.6	2.3	4.0	3.4	4.1	1730	2187	3658	6490	978	17.291729172917293	21.86218621862186	36.57365736573657	64.89648964896489	9.770977097709771
157	2.9	3.6	4.4	3.2	3.5	1378	3579	6564	3695	506	13.771377137713772	35.78357835783578	65.63656365636564	36.94369436943694	5.05050505050505
158	3.0	3.7	3.7	3.0	4.7	8482	7641	8564	8970	3265	84.81848184818482	76.40764076407642	85.63856385638564	89.6989698969897	32.64326432643264
159	2.4	3.4	3.5	2.8	5.0	6798	3830	9000	853	8463	67.97679767976797	38.29382938293829	89.99899989999	8.52085208520852	84.62846284628462
160	2.5	2.8	3.0	3.2	3.3	5847	3805	1091	5301	316	58.465846584658465	38.04380438043805	10.901090109010902	53.005300530053	3.1503150315031503
161	3.0	1.7	3.2	4.0	4.0	6837	3769	9366	8910	8246	68.36683668366837	37.68376837683768	93.65936593659366	89.09890989098909	82.45824582458245
162	4.3	3.0	3.0	3.9	3.3	778	7851	8282	885	4060	7.770777077707771	78.5078507850785	82.81828182818282	8.84088408840884	40.5940594059406
163	4.1	3.6	4.3	2.9	4.2	2861	9815	6721	4101	5458	28.6028602860286	98.14981498149815	67.2067206720672	41.004100410041005	54.57545754575458
164	3.5	1.9	4.7	3.8	3.8	4329	1510	547	8541	5042	43.28432843284328	15.091509150915092	5.4605460546054605	85.40854085408542	50.415041504150416
165	3.0	3.0	2.4	3.0	2.7	497	4374	7230	1130	2193	4.960496049604961	43.734373437343734	72.2972297229723	11.29112911291129	21.922192219221923
166	5.0	2.6	3.1	2.7	4.1	5168	6967	8266	7185	7481	51.67516751675167	69.66696669666966	82.65826582658265	71.84718471847185	74.80748074807481
167	3.3	3.6	4.1	2.1	4.7	5825	3425	9324	1074	431	58.24582458245825	34.243424342434245	93.23932393239323	10.731073107310731	4.3004300430043
168	1.7	3.2	4.6	3.5	3.8	1002	7035	491	1812	5525	10.011001100110011	70.34703470347034	4.9004900490049	18.111811181118114	55.24552455245525
169	3.2	2.6	4.0	2.6	4.1	7043	3415	4405	7774	7418	70.42704270427042	34.143414341434145	44.04440444044405	77.73777377737774	74.17741774177418
170	3.4	3.9	3.3	2.4	3.3	967	6891	2781	6385	2483	9.66096609660966	68.90689068906892	27.802780278027804	63.846384638463846	24.822482248224823
171	2.2	3.5	3.7	2.8	4.3	3694	7099	2726	8707	7925	36.933693369336936	70.98709870987099	27.25272527252725	87.06870687068708	79.24792479247925
172	2.8	3.3	3.4	3.3	3.9	7577	4423	8283	6390	1209	75.76757675767577	44.224422442244226	82.82828282828282	63.8963896389639	12.081208120812082
173	2.2	4.1	3.9	3.4	3.1	2703	1101	9279	1012	6662	27.022702270227022	11.001100110011002	92.7892789278928	10.11101110111011	66.61666166616662
174	1.7	3.5	3.9	3.6	2.8	831	4348	5431	406	5576	8.3008300830083	43.47434743474348	54.3054305430543	4.05040504050405	55.75557555755576
175	4.3	2.9	4.2	3.5	3.6	1726	6764	5036	908	1249	17.25172517251725	67.63676367636764	50.35503550355036	9.07090709070907	12.481248124812481
